subject,window_sec,block,method,true_label,pred_label,correct,margin
1,0.3,0,TDCA,0,0,1,0.07454085446275549
1,0.3,0,TDCA,1,1,1,0.21778527653875202
1,0.3,0,TDCA,2,2,1,1.2823623396733164
1,0.3,0,TDCA,3,3,1,0.646687898276082
1,0.3,0,TDCA,4,4,1,0.9884659974519763
1,0.3,0,TDCA,5,5,1,1.128526667143432
1,0.3,0,TDCA,6,6,1,0.6030635816063044
1,0.3,0,TDCA,7,1,0,0.31482133302673443
1,0.3,0,TDCA,8,8,1,0.9658037460771847
1,0.3,0,TDCA,9,9,1,0.7458886852295437
1,0.3,0,TDCA,10,10,1,1.6192658305461198
1,0.3,0,TDCA,11,11,1,0.7065101023407809
1,0.3,0,TDCA,12,12,1,1.0680022895899337
1,0.3,0,TDCA,13,13,1,1.5557271075967574
1,0.3,0,TDCA,14,29,0,0.509808412293314
1,0.3,0,TDCA,15,15,1,0.9935358297992192
1,0.3,0,TDCA,16,16,1,2.046552853005836
1,0.3,0,TDCA,17,17,1,0.7714732477132538
1,0.3,0,TDCA,18,18,1,1.625375913638878
1,0.3,0,TDCA,19,19,1,0.9186765404787631
1,0.3,0,TDCA,20,20,1,0.14015054046117337
1,0.3,0,TDCA,21,21,1,0.30073837340238097
1,0.3,0,TDCA,22,22,1,0.4230197362173411
1,0.3,0,TDCA,23,23,1,0.40130669357407234
1,0.3,0,TDCA,24,24,1,1.1567733242449296
1,0.3,0,TDCA,25,25,1,0.2799394286831438
1,0.3,0,TDCA,26,26,1,2.0978640881145165
1,0.3,0,TDCA,27,27,1,0.5216231760941576
1,0.3,0,TDCA,28,28,1,0.297106141024714
1,0.3,0,TDCA,29,29,1,0.15709342318768016
1,0.3,0,TDCA,30,30,1,0.5107265495700779
1,0.3,0,TDCA,31,31,1,0.49257895776761895
1,0.3,0,TDCA,32,32,1,0.37326914588449434
1,0.3,0,TDCA,33,33,1,0.17224326160037284
1,0.3,0,TDCA,34,19,0,0.9590025554122872
1,0.3,0,TDCA,35,37,0,0.3810630477888841
1,0.3,0,TDCA,36,36,1,0.9514574931692503
1,0.3,0,TDCA,37,37,1,0.3926410460614065
1,0.3,0,TDCA,38,38,1,0.4120220636144367
1,0.3,0,TDCA,39,10,0,0.3806306906046042
1,0.3,0,ImprovedTDCA,0,0,1,0.015048623904794667
1,0.3,0,ImprovedTDCA,1,1,1,0.23037569821935655
1,0.3,0,ImprovedTDCA,2,2,1,1.555318271788292
1,0.3,0,ImprovedTDCA,3,3,1,0.4170828182764672
1,0.3,0,ImprovedTDCA,4,4,1,1.1924023322364332
1,0.3,0,ImprovedTDCA,5,5,1,1.1979866290679289
1,0.3,0,ImprovedTDCA,6,6,1,0.8459496401848992
1,0.3,0,ImprovedTDCA,7,1,0,0.6127237048677157
1,0.3,0,ImprovedTDCA,8,8,1,1.345312289917965
1,0.3,0,ImprovedTDCA,9,9,1,1.0861262872148707
1,0.3,0,ImprovedTDCA,10,10,1,1.9375281224806078
1,0.3,0,ImprovedTDCA,11,11,1,1.5179441228511323
1,0.3,0,ImprovedTDCA,12,12,1,1.3468648644843388
1,0.3,0,ImprovedTDCA,13,13,1,1.0528527481776866
1,0.3,0,ImprovedTDCA,14,29,0,0.4637718695207078
1,0.3,0,ImprovedTDCA,15,15,1,1.2240496520853716
1,0.3,0,ImprovedTDCA,16,16,1,1.5691362646459825
1,0.3,0,ImprovedTDCA,17,17,1,0.6124368438243808
1,0.3,0,ImprovedTDCA,18,18,1,2.06870956631889
1,0.3,0,ImprovedTDCA,19,19,1,1.0706517968452738
1,0.3,0,ImprovedTDCA,20,20,1,0.0918869779254412
1,0.3,0,ImprovedTDCA,21,21,1,0.39898679782470614
1,0.3,0,ImprovedTDCA,22,22,1,0.358329028621714
